@relation 'mushroom-weka.filters.unsupervised.attribute.StringToNominal-R2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23-weka.filters.unsupervised.attribute.AddNoise-C2-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C3-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C4-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C5-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C6-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C7-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C8-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C9-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C10-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C11-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C12-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C13-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C14-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C15-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C16-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C18-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C19-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C20-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C21-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C22-P25-S1-weka.filters.unsupervised.attribute.AddNoise-C23-P25-S1'

@attribute class {p,e}
@attribute cap-shape {x,b,s,f,k,c}
@attribute cap-surface {s,y,f,g}
@attribute cap-color {n,y,w,g,e,p,b,u,c,r}
@attribute bruises {t,f}
@attribute odor {p,a,l,n,f,c,y,s,m}
@attribute gill-attachment {f,a}
@attribute gill-spacing {c,w}
@attribute gill-size {n,b}
@attribute gill-color {k,n,g,p,w,h,u,e,b,r,y,o}
@attribute stalk-shape {e,t}
@attribute stalk-root {e,c,b,r}
@attribute stalk-surface-above-ring {s,f,k,y}
@attribute stalk-surface-below-ring {s,f,y,k}
@attribute stalk-color-above-ring {w,g,p,n,b,e,o,c,y}
@attribute stalk-color-below-ring {w,p,g,b,n,e,y,o,c}
@attribute veil-type {p}
@attribute veil-color {w,n,o,y}
@attribute ring-number {o,t,n}
@attribute ring-type {p,e,l,f,n}
@attribute spore-print-color {k,n,u,h,w,r,o,y,b}
@attribute population {s,n,a,v,y,c}
@attribute habitat {u,g,m,d,p,w,l}

@data

p,x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,k,s,u
e,x,s,y,t,a,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,n,g
e,b,s,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,n,m
p,x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,u
e,x,s,g,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g
e,b,g,y,f,a,a,w,n,r,e,c,y,k,c,c,p,n,t,e,h,c,p
e,c,f,e,f,m,a,w,n,u,t,b,k,f,e,p,p,o,t,f,o,a,u
e,b,y,w,t,l,f,c,b,n,e,c,s,s,w,w,p,w,o,p,n,s,m
p,x,y,w,t,p,f,c,n,p,e,e,s,s,w,w,p,w,o,p,k,v,g
e,b,s,y,t,a,f,c,b,g,e,c,s,s,w,w,p,w,o,p,k,s,m
e,x,y,y,t,l,f,c,b,g,e,c,s,s,w,w,p,w,o,p,n,n,g
e,x,y,y,t,a,f,c,b,n,e,c,s,s,w,w,p,w,o,p,k,s,m
e,x,f,r,f,s,a,w,n,n,t,e,k,k,p,n,p,o,n,l,y,n,d
p,x,y,w,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,v,u
e,x,f,n,f,n,f,w,b,n,t,e,s,f,w,w,p,w,o,e,k,a,g
e,s,f,g,f,n,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,y,u
e,f,f,w,f,n,f,w,b,k,t,e,s,s,w,w,p,w,o,e,n,a,g
p,x,s,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,k,s,g
p,x,y,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,s,u
p,x,s,n,t,p,f,c,n,k,e,e,s,s,w,w,p,w,o,p,n,s,u
e,k,y,n,f,n,a,w,n,b,t,b,y,f,c,y,p,y,n,n,h,c,g
p,x,y,n,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g
e,b,y,y,t,l,f,c,b,k,e,c,s,s,w,w,p,w,o,p,n,s,m
e,b,y,w,t,a,f,c,b,w,e,c,s,s,w,w,p,w,o,p,n,n,m
e,k,g,r,f,c,a,w,n,k,t,b,k,y,c,o,p,y,n,f,n,n,l
p,f,s,w,t,p,f,c,n,n,e,e,s,s,w,w,p,w,o,p,n,v,g
